A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
33855, 34031, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
33577, 34202, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 10, 4, 4, 0, 3, 2
33609, 33850, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
33270, 34313, 1, "OK", 4, 29, 15, 10, 7, 3, 5, 1
33671, 33850, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
33577, 33760, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
33609, 33922, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
33671, 33922, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
33221, 34340, 1, "OK", 4, 33, 16, 16, 8, 8, 5, 0
33471, 34207, 1, "OK", 5, 20, 13, 9, 6, 3, 4, 1
34037, 34202, 1, "OK", 3, 4, 3, 1, 1, 0, 1, 2
33609, 34031, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 7, 3, 3, 0, 2, 2
33527, 34207, 1, "OK", 6, 19, 13, 9, 6, 3, 4, 1
33671, 34031, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 7, 3, 3, 0, 2, 2
33927, 34031, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
33766, 34031, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<String> columnsList List<Projection> projections", 0, 0, 3, 1, 1, 0, 1, 2
33342, 34313, 1, "OK", 5, 28, 15, 10, 7, 3, 5, 1
33577, 33850, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
33609, 34202, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 10, 4, 4, 0, 3, 2
33527, 34313, 1, "OK", 6, 24, 15, 10, 7, 3, 5, 1
33671, 34202, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 10, 4, 4, 0, 3, 2
33927, 34202, 1, "OK", 5, 8, 6, 2, 2, 0, 2, 2
33766, 34202, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<String> columnsList List<Projection> projections", 0, 0, 6, 2, 2, 0, 2, 2
33165, 34340, 1, "OK", 3, 35, 16, 16, 8, 8, 5, 0
33609, 33760, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
33382, 34207, 1, "OK", 6, 21, 13, 9, 6, 3, 4, 1
33577, 33922, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
33671, 33760, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
33855, 34202, 1, "OK", 4, 9, 6, 2, 2, 0, 2, 2
33165, 34317, 1, "OK", 3, 33, 16, 16, 8, 8, 5, 0
33342, 34207, 1, "OK", 5, 23, 13, 9, 6, 3, 4, 1
33382, 34313, 1, "OK", 6, 26, 15, 10, 7, 3, 5, 1
34212, 34313, 1, "OK", 2, 4, 2, 1, 1, 0, 1, 1
33577, 34031, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 7, 3, 3, 0, 2, 2
33221, 34317, 1, "OK", 4, 31, 16, 16, 8, 8, 5, 0
33270, 34207, 1, "OK", 4, 24, 13, 9, 6, 3, 4, 1
33471, 34313, 1, "OK", 5, 25, 15, 10, 7, 3, 5, 1
