A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2116, 2563, 1, "OK", 5, 21, 11, 7, 4, 3, 4, 1
2313, 2536, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
2019, 2884, 1, "OK", 3, 37, 15, 15, 7, 8, 5, 0
2019, 2628, 1, "OK", 3, 26, 12, 12, 5, 7, 4, 0
2019, 2567, 1, "OK", 3, 24, 12, 12, 5, 7, 4, 0
1907, 2648, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 6, 7, 4, 0
2238, 2563, 1, "OK", 6, 14, 9, 6, 3, 3, 3, 1
2019, 2826, 1, "OK", 3, 35, 15, 15, 7, 8, 5, 0
1907, 2015, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
2709, 2822, 1, "OK", 5, 5, 2, 1, 1, 0, 1, 1
1907, 1960, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
2313, 2431, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
1966, 2884, 1, "OK", 2, 39, 15, 15, 7, 8, 5, 0
1966, 2628, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double[] d double dbar", 0, 0, 12, 12, 5, 7, 4, 0
2019, 2648, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double dbar double sum", 0, 0, 12, 12, 5, 7, 4, 0
2074, 2226, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 2, 1, 1, 0, 1, 1
1966, 2567, 1, "OK", 2, 26, 12, 12, 5, 7, 4, 0
2169, 2547, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 11, 7, 4, 3, 4, 1
2571, 2884, 1, "OK", 2, 12, 3, 3, 2, 1, 1, 0
2074, 2547, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 11, 7, 4, 3, 4, 1
2169, 2226, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 2, 1, 1, 0, 1, 1
1966, 2826, 1, "OK", 2, 37, 15, 15, 7, 8, 5, 0
2631, 2884, 1, "OK", 3, 11, 3, 3, 2, 1, 1, 0
2571, 2826, 1, "OK", 2, 10, 3, 3, 2, 1, 1, 0
2631, 2826, 1, "OK", 3, 9, 3, 3, 2, 1, 1, 0
2654, 2884, 1, "OK", 4, 9, 3, 3, 2, 1, 1, 0
2370, 2536, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
2709, 2780, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 2, 1, 1, 0, 1, 1
2169, 2563, 1, "OK", 6, 19, 11, 7, 4, 3, 4, 1
1966, 2648, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double[] d double dbar double sum", 0, 0, 12, 12, 5, 7, 4, 0
2074, 2563, 1, "OK", 4, 22, 11, 7, 4, 3, 4, 1
2654, 2826, 1, "OK", 4, 7, 3, 3, 2, 1, 1, 0
2116, 2226, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 2, 1, 1, 0, 1, 1
2116, 2547, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 11, 7, 4, 3, 4, 1
1907, 2884, 1, "OK", 2, 43, 16, 16, 8, 8, 5, 0
1907, 2628, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 6, 7, 4, 0
1907, 2567, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 6, 7, 4, 0
2238, 2547, 1, "OK", 5, 12, 9, 6, 3, 3, 3, 1
1907, 2826, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 8, 8, 5, 0
2294, 2542, 1, "OK", 6, 10, 7, 3, 2, 1, 2, 2
2370, 2431, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
