A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
21107, 21722, 1, "OK", 4, 15, 14, 10, 4, 6, 4, 1
21164, 21748, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 14, 10, 4, 6, 4, 1
21420, 21716, 1, "OK", 2, 8, 12, 6, 3, 3, 3, 2
21164, 21722, 1, "OK", 4, 14, 14, 10, 4, 6, 4, 1
20956, 21864, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 17, 17, 7, 10, 4, 0
21107, 21748, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 14, 10, 4, 6, 4, 1
21328, 21716, 1, "OK", 3, 9, 12, 6, 3, 3, 3, 2
21577, 21709, 1, "OK", 3, 5, 9, 3, 2, 1, 2, 3
21611, 21701, 1, "OK", 3, 3, 5, 1, 1, 0, 1, 4
21213, 21748, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 14, 10, 4, 6, 4, 1
20807, 22079, 1, "OK", 1, 30, 18, 18, 8, 10, 4, 0
20880, 21864, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 17, 17, 7, 10, 4, 0
21213, 21722, 1, "OK", 4, 13, 14, 10, 4, 6, 4, 1
20833, 22079, 1, "OK", 2, 29, 18, 18, 8, 10, 4, 0
20842, 21864, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 17, 17, 7, 10, 4, 0
21055, 21722, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Role role List<Domain> categoriesDev", 0, 0, 14, 10, 4, 6, 4, 1
20919, 21864, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 17, 17, 7, 10, 4, 0
21285, 21716, 1, "OK", 3, 10, 12, 6, 3, 3, 3, 2
21055, 21748, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 14, 10, 4, 6, 4, 1
21246, 21716, 1, "OK", 3, 11, 12, 6, 3, 3, 3, 2
21534, 21716, 1, "OK", 3, 7, 12, 6, 3, 3, 3, 2
20779, 22079, 1, "OK", 1, 31, 18, 18, 8, 10, 4, 0
