A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
28189, 28617, 1, "OK", 1, 11, 7, 5, 4, 1, 2, 1
28655, 28893, 1, "OK", 3, 11, 6, 4, 4, 0, 2, 1
27731, 28993, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 17, 11, 6, 5, 0
28623, 28988, 1, "OK", 4, 15, 6, 4, 4, 0, 2, 1
28623, 28732, 1, "OK", 1, 4, 3, 2, 2, 0, 1, 1
27801, 28993, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 17, 11, 6, 5, 0
28014, 28278, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String type boolean hasVal", 0, 0, 3, 2, 2, 0, 1, 1
27918, 28952, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String name String value", 0, 0, 15, 10, 9, 1, 5, 1
28038, 28303, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String type boolean hasVal String tempVal", 0, 0, 3, 2, 2, 0, 1, 1
28308, 28893, 1, "OK", 4, 22, 12, 8, 7, 1, 4, 1
28655, 28756, 1, "OK", 2, 5, 3, 2, 2, 0, 1, 1
27973, 28650, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String name String type String tempVal boolean multivalue", 0, 0, 9, 6, 5, 1, 3, 1
28308, 28756, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String tempVal boolean multivalue", 0, 0, 9, 6, 5, 1, 3, 1
28189, 28988, 1, "OK", 4, 27, 13, 9, 8, 1, 4, 1
28189, 28732, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String tempVal boolean multivalue", 0, 0, 10, 7, 6, 1, 3, 1
28283, 28893, 1, "OK", 3, 23, 12, 8, 7, 1, 4, 1
28449, 28611, 1, "OK", 3, 4, 3, 1, 1, 0, 1, 2
27918, 28303, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject obj String name String type boolean hasVal String tempVal", 0, 0, 3, 2, 2, 0, 1, 1
28738, 28893, 1, "OK", 3, 7, 3, 2, 2, 0, 1, 1
28189, 28756, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String tempVal boolean multivalue", 0, 0, 10, 7, 6, 1, 3, 1
27801, 27859, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
28308, 28650, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String tempVal boolean multivalue", 0, 0, 6, 4, 3, 1, 2, 1
28283, 28650, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String tempVal boolean multivalue", 0, 0, 6, 4, 3, 1, 2, 1
28038, 28952, 1, "OK", 3, 32, 15, 10, 9, 1, 5, 1
27686, 29239, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 20, 20, 13, 7, 6, 0
27973, 28278, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String name String type boolean hasVal", 0, 0, 3, 2, 2, 0, 1, 1
27918, 28988, 1, "OK", 3, 36, 15, 10, 9, 1, 5, 1
27918, 28732, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String name String type String tempVal boolean multivalue", 0, 0, 12, 8, 7, 1, 4, 1
28623, 28893, 1, "OK", 2, 12, 6, 4, 4, 0, 2, 1
