A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
103578, 110028, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 132, 132, 48, 84, 22, 0
103423, 103566, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
104247, 104646, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int offset char chLocal int intVal", 0, 0, 13, 5, 4, 1, 2, 4
103372, 103617, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
104194, 107317, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 89, 37, 25, 12, 13, 4
105765, 107263, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int offset char chLocal float[] array float value", 0, 0, 46, 18, 13, 5, 7, 4
103207, 103617, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
108315, 108599, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
103951, 104105, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int offset char chLocal boolean negative", 0, 0, 4, 1, 1, 0, 1, 3
106534, 106980, 1, "OK", 6, 10, 13, 5, 4, 1, 2, 4
103627, 110028, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 132, 132, 48, 84, 22, 0
108050, 108599, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 7, 3, 3, 0, 2, 2
103423, 108671, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 123, 123, 40, 83, 21, 0
107289, 107611, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 2, 2, 0, 1, 4
103175, 103566, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
103663, 108918, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 123, 123, 40, 83, 21, 0
104714, 106546, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 58, 26, 16, 10, 8, 4
104674, 105737, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 14, 8, 6, 4, 4
106572, 107317, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  float[] array int arrayIndex", 0, 0, 18, 6, 5, 1, 3, 4
103901, 104105, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int offset char chLocal int start boolean negative", 0, 0, 4, 1, 1, 0, 1, 3
104977, 105539, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int offset char chLocal int intVal int power", 0, 0, 17, 5, 4, 1, 2, 6
103332, 108918, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 124, 124, 41, 83, 21, 0
107008, 107611, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 11, 3, 3, 0, 2, 4
103175, 108671, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 124, 124, 41, 83, 21, 0
103780, 108353, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 114, 76, 34, 42, 19, 2
105838, 106508, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int offset char chLocal int count", 0, 0, 27, 11, 7, 4, 4, 4
104674, 107263, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 76, 32, 21, 11, 11, 4
104714, 106508, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 58, 26, 16, 10, 8, 4
103372, 103566, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
104129, 107750, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 101, 56, 30, 26, 15, 3
103423, 103522, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
103207, 103566, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
104194, 105737, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 43, 19, 12, 7, 6, 4
106472, 107317, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  float[] array int arrayIndex", 0, 0, 18, 6, 5, 1, 3, 4
103687, 108660, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 121, 100, 38, 62, 21, 1
109675, 109907, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 1
104674, 105812, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 31, 15, 9, 6, 4, 4
104247, 105737, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 43, 19, 12, 7, 6, 4
105765, 107317, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int offset char chLocal float[] array int arrayIndex", 0, 0, 46, 18, 13, 5, 7, 4
103951, 107750, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 105, 57, 31, 26, 16, 3
103663, 110028, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 132, 132, 48, 84, 22, 0
108703, 108918, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
103175, 103651, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
103423, 103617, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
105146, 105504, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 10, 3, 3, 0, 1, 7
106690, 106785, 1, "OK", 2, 3, 6, 1, 1, 0, 1, 5
103901, 107750, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 105, 57, 31, 26, 16, 3
103332, 110028, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 133, 133, 49, 84, 22, 0
104247, 107263, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 89, 37, 25, 12, 13, 4
108930, 110058, 1, "OK", 3, 37, 9, 9, 8, 1, 1, 0
103867, 108297, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 114, 76, 34, 42, 19, 2
105838, 107611, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 51, 19, 14, 5, 8, 4
